NIM,Nama,Semester,IPK,SKS_Lulus,SKS_Diambil,Sisa_Matkul_Wajib,Tugas_Tertunda_Avg,Skor_Psikologis_Avg,Tidur_Avg_Jam,Motivasi,Label
71241100,Rizky Pratama,7,3.24,88,23,0,1.7,4.5,6.7,Tinggi,Tepat_Waktu
71241101,Citra Santoso,6,3.51,81,22,1,1.8,3.5,7.3,Tinggi,Tepat_Waktu
71241102,Nadia Rahayu,10,2.56,50,17,12,6.0,7.8,5.4,Rendah,Terlambat_Lebih
71241103,Gita Kusuma,7,3.85,118,20,0,1.8,2.7,8.4,Tinggi,Tepat_Waktu
71241104,Fajar Cahyono,8,3.62,103,22,1,1.8,0.2,7.0,Tinggi,Tepat_Waktu
71241105,Fajar Nugroho,13,2.08,80,18,11,5.2,8.8,4.8,Sedang,Terlambat_Lebih
71241106,Ulfa Surya,8,3.17,126,19,1,1.2,1.3,8.4,Sedang,Tepat_Waktu
71241107,Luna Nugroho,8,2.58,62,22,5,3.4,4.3,6.8,Sedang,Terlambat_1Sem
71241108,Wulan Permata,7,3.4,121,21,1,0.7,1.2,7.6,Tinggi,Tepat_Waktu
71241109,Yuni Budiman,10,2.72,74,17,7,3.7,7.0,6.7,Sedang,Terlambat_1Sem
71241110,Rizky Hidayat,13,2.4,64,15,15,9.0,9.6,5.4,Rendah,Terlambat_Lebih
71241111,Ulfa Rizki,8,3.75,129,23,2,0.3,2.2,7.4,Sedang,Tepat_Waktu
71241112,Xander Rahayu,11,2.31,46,18,10,8.3,9.5,3.9,Rendah,Terlambat_Lebih
71241113,Zaki Hidayat,10,3.13,98,18,6,2.1,7.7,6.8,Rendah,Terlambat_1Sem
71241114,Putri Wijaya,8,3.95,85,23,3,2.0,4.9,7.6,Tinggi,Tepat_Waktu
71241115,Indah Prabowo,10,2.53,93,22,7,3.5,4.8,6.1,Sedang,Terlambat_1Sem
71241116,Vito Wibowo,9,3.2,101,18,6,5.1,5.8,5.5,Sedang,Terlambat_1Sem
71241117,Wahyu Santoso,8,2.87,60,16,8,4.2,4.9,6.8,Rendah,Terlambat_1Sem
71241118,Eko Gunawan,8,3.49,114,19,5,2.3,2.9,7.4,Tinggi,Tepat_Waktu
71241119,Cahya Wibowo,8,3.43,107,21,3,2.2,0.3,7.8,Sedang,Tepat_Waktu
71241120,Gita Wijaya,9,3.04,66,17,4,2.7,5.8,5.8,Rendah,Terlambat_1Sem
71241121,Fitri Nugroho,10,2.24,95,18,14,4.9,10.3,4.6,Rendah,Terlambat_Lebih
71241122,Fajar Susanto,11,2.21,70,13,12,8.6,7.8,3.5,Rendah,Terlambat_Lebih
71241123,Raka Hartono,8,3.96,130,22,5,1.8,0.8,7.1,Tinggi,Tepat_Waktu
71241124,Nadia Rizki,10,2.65,63,20,6,3.8,7.4,5.3,Sedang,Terlambat_1Sem
71241125,Fajar Hidayat,6,3.68,95,21,0,2.4,2.8,7.7,Tinggi,Tepat_Waktu
71241126,Prita Kusuma,10,2.85,80,18,4,4.3,5.3,5.5,Sedang,Terlambat_1Sem
71241127,Tegar Surya,7,3.93,84,18,3,1.6,2.8,6.7,Sedang,Tepat_Waktu
71241128,Nina Gunawan,7,3.88,95,20,2,0.4,4.2,7.9,Sedang,Tepat_Waktu
71241129,Shinta Gunawan,8,3.3,122,18,1,0.7,4.4,8.0,Tinggi,Tepat_Waktu
71241130,Sari Saputra,10,2.67,103,21,5,3.8,5.0,6.8,Sedang,Terlambat_1Sem
71241131,Fajar Surya,9,2.44,81,22,4,4.2,5.0,6.5,Sedang,Terlambat_1Sem
71241132,Wulan Dewi,8,2.46,104,17,7,2.1,5.5,6.1,Rendah,Terlambat_1Sem
71241133,Indah Wijaya,6,3.9,93,23,1,1.7,1.8,7.6,Tinggi,Tepat_Waktu
71241134,Prita Rizki,6,3.86,91,21,0,0.4,4.6,8.1,Tinggi,Tepat_Waktu
71241135,Tegar Rizki,12,1.96,84,12,12,8.4,11.3,3.9,Rendah,Terlambat_Lebih
71241136,Xena Saputra,11,2.02,82,13,12,6.0,11.3,5.4,Rendah,Terlambat_Lebih
71241137,Xena Surya,10,3.18,94,18,3,2.4,7.9,5.4,Rendah,Terlambat_1Sem
71241138,Citra Pratama,9,2.98,80,19,7,5.4,4.5,6.8,Sedang,Terlambat_1Sem
71241139,Raka Wijaya,8,2.82,94,21,8,5.3,6.9,5.4,Rendah,Terlambat_1Sem
71241140,Eko Prabowo,14,2.11,94,12,10,6.8,10.3,4.2,Sedang,Terlambat_Lebih
71241141,Toni Cahyono,7,3.66,104,23,5,2.3,3.1,7.1,Sedang,Tepat_Waktu
71241142,Andi Saputra,7,3.79,118,23,2,1.2,2.2,6.9,Tinggi,Tepat_Waktu
71241143,Yuni Hidayat,9,2.81,100,20,5,2.3,7.8,5.5,Rendah,Terlambat_1Sem
71241144,Oscar Wibowo,6,3.24,110,22,0,1.1,4.4,7.7,Sedang,Tepat_Waktu
71241145,Vito Purnama,8,2.52,104,16,3,4.7,4.9,6.6,Sedang,Terlambat_1Sem
71241146,Jesica Hartono,6,3.92,87,21,1,2.0,3.3,8.5,Sedang,Tepat_Waktu
71241147,Vina Susanto,14,2.62,72,15,14,6.5,7.8,5.2,Rendah,Terlambat_Lebih
71241148,Raka Susanto,8,3.28,129,22,3,1.6,1.4,6.7,Tinggi,Tepat_Waktu
71241149,Putri Rahayu,8,3.08,89,19,3,1.7,3.5,6.6,Tinggi,Tepat_Waktu
71241150,Wahyu Cahyono,8,2.57,86,19,7,5.3,4.1,6.8,Sedang,Terlambat_1Sem
71241151,Zahra Setiawan,7,3.3,104,24,3,1.3,3.7,8.1,Tinggi,Tepat_Waktu
71241152,Hani Nugroho,7,3.03,101,23,5,2.0,3.6,8.2,Tinggi,Tepat_Waktu
71241153,Prita Cahyono,7,3.59,122,18,0,1.6,0.7,7.4,Tinggi,Tepat_Waktu
71241154,Raka Purnama,7,3.33,128,21,2,1.9,4.2,7.0,Tinggi,Tepat_Waktu
71241155,Galih Santoso,8,3.2,82,17,8,2.2,7.8,5.1,Sedang,Terlambat_1Sem
71241156,Putri Wibowo,14,1.95,48,15,7,7.0,8.1,4.9,Rendah,Terlambat_Lebih
71241157,Kartika Wahyudi,10,2.97,109,22,4,5.4,4.4,5.1,Rendah,Terlambat_1Sem
71241158,Miko Prabowo,13,2.2,85,13,7,7.2,11.2,4.0,Sedang,Terlambat_Lebih
